DADOS,
Titulo,Projeto 4 - Je3
Tipologia,Sobrado
Área Terreno,"250,00"
Área Construída,"257,00"
Área Fundação,"221,36"
Área Fachada,"430,11"
Área Parede,"547,27"
Qtde BWCs,"6,00"
